luckynecklace,shirtcolor,hat,pants,luckyday
no,red,tophat,jeans,normal
no,blue,baseballcap,shorts,normal
yes,red,tophat,shorts,lucky
yes,blue,baseballcap,shorts,lucky
yes,red,baseballcap,shorts,lucky
yes,blue,tophat,jeans,lucky
yes,red,tophat,jeans,lucky
yes,blue,tophat,jeans,normal
yes,blue,tophat,jeans,normal
yes,red,tophat,jeans,normal
yes,red,tophat,jeans,normal
yes,blue,tophat,jeans,normal
yes,blue,baseballcap,jeans,lucky
yes,blue,baseballcap,jeans,lucky
yes,red,baseballcap,jeans,lucky
yes,red,baseballcap,jeans,lucky
yes,red,baseballcap,jeans,lucky
yes,red,baseballcap,jeans,normal
yes,blue,baseballcap,jeans,normal
