Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Class
0.102,0.083,0.058,0.063,0.064,0.133,0.396,0.179,0.12,0.274,0.251,0.263,0.28,0.298,0.382,0.313,0.396,0.7524,0.322,0.334,0.318,0.289,0.361,0.257,2.466,0.459,0.472,0.728,4.553999999999999,0.658,0.9012,1.334,0.49,0.596,0.786,0.4812,0.119,0.972,0.311,0.135,2.555,2.397,3.76,1.102,0.7031999999999999,2.187,0.552,3.34,0.1932,0.048,0.12,0.071,0.032,0.0372,0.025,0.018,0.018,0.042,0.046,0.011,0
0.012,0.007,0.0336,0.058,0.092,0.1524,0.632,0.193,0.236,0.217,0.118,0.075,0.3336,0.376,1.018,0.659,0.707,2.259,1.0031999999999999,0.859,0.962,0.984,0.87,0.768,2.535,0.54,0.8315999999999999,0.849,4.105,0.7152,0.295,0.552,0.288,0.189,0.145,0.096,0.089,0.3024,0.089,0.186,1.16,0.666,0.52,0.20639999999999997,0.202,0.537,0.111,0.2,0.03,0.008,0.0048,0.006,0.003,0.004,0.0012,0.0036,0.002,0.006,0.003,0.005,0
0.015,0.032,0.072,0.126,0.116,0.20759999999999998,0.672,0.112,0.089,0.12,0.085,0.152,0.46,0.279,0.40800000000000003,0.5436,1.39,2.643,1.098,0.754,0.674,1.43,0.834,0.77,3.495,0.7848,0.504,0.493,2.994,0.416,0.163,0.08,0.064,0.296,0.361,0.187,0.048,0.45,0.288,0.2376,1.59,1.428,0.86,0.156,0.1872,0.126,0.098,0.24,0.022,0.012,0.018,0.0072,0.0024,0.008,0.026,0.006,0.001,0.002,0.0024,0.006,1
0.022799999999999997,0.031,0.02,0.062,0.016,0.158,0.6911999999999999,0.145,0.2148,0.3024,0.3132,0.371,0.4692,0.3204,0.544,0.5015999999999999,0.8387999999999999,3.438,0.223,0.263,0.747,0.726,0.4068,0.282,3.63,0.59,0.497,1.724,5.004,0.408,0.2724,0.348,0.051,0.159,0.304,0.137,0.16,0.618,0.073,0.02,0.82,0.474,0.915,0.189,0.101,0.198,0.018,0.2,0.011,0.014,0.009,0.0048,0.01,0.014,0.019,0.0168,0.01,0.010799999999999999,0.005,0.008,1
0.035,0.012,0.019,0.094,0.148,0.118,0.672,0.154,0.147,0.291,0.233,0.448,0.247,0.312,0.349,0.331,0.23,0.66,0.249,0.413,0.316,0.619,0.585,0.34,1.28,0.56,0.814,1.388,3.49,1.0392,0.593,0.4392,0.81,1.044,1.568,1.51,0.6948,2.826,0.125,1.218,3.66,1.794,1.715,0.18,0.238,1.2312,0.23,0.414,0.044,0.047,0.043,0.042,0.016,0.015,0.013199999999999998,0.01,0.01,0.002,0.007,0.007,1
0.008,0.015,0.029,0.05159999999999999,0.095,0.09,0.164,0.052,0.069,0.21,0.394,0.117,0.168,0.081,0.218,0.512,1.446,2.8008,0.622,0.42,0.373,0.262,0.378,1.472,4.335,0.822,0.777,0.786,2.825,0.364,0.4236,0.4632,0.40440000000000004,0.169,0.263,0.64,0.139,0.315,0.168,0.191,0.585,0.279,0.43,0.095,0.099,0.288,0.086,0.205,0.013199999999999998,0.018,0.006,0.024,0.011,0.0168,0.0144,0.006,0.006,0.006,0.007,0.004,1
0.041,0.044,0.054,0.084,0.042,0.122,0.8,0.152,0.164,0.2376,0.231,0.302,0.394,0.505,0.587,0.661,0.742,2.403,0.846,0.794,1.76,1.676,0.785,1.696,3.715,0.7716,0.551,0.42239999999999994,3.17,0.335,0.412,0.103,0.317,0.808,0.428,0.454,0.74,1.122,0.4608,0.349,2.19,1.278,1.71,0.3372,0.24,0.111,0.08,0.27,0.018,0.0072,0.022,0.004,0.014,0.013199999999999998,0.005,0.032,0.014,0.008,0.025,0.02,0
0.018,0.0204,0.05,0.028,0.026,0.035,0.17279999999999998,0.054,0.026,0.047,0.053,0.222,0.1248,0.095,0.10919999999999999,0.169,0.314,0.114,0.132,0.25079999999999997,0.198,0.095,0.2352,0.124,0.372,0.214,0.464,0.647,3.17,0.611,0.705,0.6456000000000001,0.593,0.844,0.948,0.97,0.777,1.893,0.576,0.615,5.45,1.443,1.705,0.192,0.113,0.192,0.091,0.588,0.112,0.019,0.018,0.004,0.018,0.0204,0.008,0.005,0.011,0.018,0.029,0.0072,1
0.023,0.032,0.017,0.023,0.0492,0.0144,0.10559999999999999,0.096,0.236,0.246,0.2688,0.152,0.173,0.62,0.438,0.56,0.8184,1.848,0.68,0.844,0.992,1.2,0.798,0.543,1.975,0.518,0.565,0.304,0.94,0.396,0.458,0.354,0.419,0.48,0.185,0.376,0.5196,2.178,0.252,0.2244,0.525,0.702,0.995,0.11,0.0816,0.108,0.0804,0.78,0.046,0.025,0.015,0.012,0.004,0.012,0.0048,0.011,0.005,0.009,0.001,0.018,0
0.0084,0.01,0.0024,0.006,0.02,0.062,0.20639999999999997,0.095,0.084,0.236,0.098,0.091,0.132,0.07079999999999999,0.09960000000000001,0.13,0.24479999999999996,1.143,0.445,0.6264,0.7091999999999999,0.7884,0.7572,0.6,2.976,1.13,0.691,1.702,6.0,0.917,0.9216,0.618,0.6564,0.552,0.546,0.552,0.456,1.041,0.338,0.285,1.25,0.492,1.6,0.149,0.133,0.207,0.06,0.28,0.031,0.015,0.003,0.005,0.002,0.002,0.0048,0.002,0.003,0.003,0.01,0.003,1
0.026,0.043,0.055,0.068,0.0936,0.125,0.52,0.173,0.279,0.295,0.30119999999999997,0.312,0.225,0.25439999999999996,0.127,0.119,0.179,1.308,0.165,0.074,0.124,0.476,0.5783999999999999,0.637,3.765,1.0752,0.994,0.996,4.665,1.1208,0.885,0.769,0.8232,1.278,0.638,0.663,0.598,1.368,0.313,0.416,2.16,1.209,2.1,0.456,0.4752,0.891,0.21,0.78,0.176,0.026,0.012,0.009,0.006,0.002,0.008,0.008,0.003,0.006,0.005,0.006,0
