No,X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,Y house price of unit area
1,32.0,84.87882,12.0,45.48
2,23.4,306.5947,9.0,42.2
3,13.3,674.3814,5.0,47.3
4,13.3,561.9845,5.0,43.84
5,5.0,390.5684,4.0,43.1
6,7.1,1740.0240000000003,3.0,38.52
7,34.5,623.4731,7.0,40.3
8,20.3,287.6025,6.0,37.36000000000001
9,31.7,5512.038,1.0,18.8
10,17.9,1783.18,3.5999999999999996,17.680000000000003
11,34.8,405.2134,1.0,41.4
12,6.3,90.45606,9.0,58.1
13,13.0,393.78504,5.0,39.3
14,20.4,2469.645,4.8,23.8
15,10.56,1164.838,4.0,34.3
16,42.84,463.36664,1.6,40.400000000000006
17,0.0,292.9978,6.0,84.11999999999999
18,21.24,350.8515,1.0,29.92
19,16.9,368.1363,9.6,50.76
20,1.5,23.38284,5.6000000000000005,57.24
21,3.6,2731.0524,3.0,29.3
22,8.4,279.1726,7.0,51.6
23,14.7,1360.139,1.0,29.52
24,8.08,279.1726,7.0,47.9
25,39.6,480.6977,4.0,46.559999999999995
26,29.3,1190.2944,2.0,32.4
27,3.1,383.8624,5.0,56.2
28,10.4,331.7388,4.0,33.6
29,19.2,557.478,4.0,47.0
30,7.1,541.49256,6.0,45.68000000000001
31,20.72,4519.69,0.0,26.52
32,29.6,769.4034,7.0,30.0
33,37.9,390.85816,1.0,34.2
34,16.5,323.655,7.199999999999999,39.44
35,15.4,205.367,8.4,55.1
36,13.9,4079.418,0.0,27.3
37,14.7,1935.009,2.0,22.9
38,12.0,1360.139,1.0,25.3
39,3.1,577.9615,6.0,47.7
40,12.96,289.3248,5.0,55.440000000000005
41,13.6,4082.015,0.0,15.9
42,16.8,4066.587,0.0,18.2
43,28.880000000000003,415.56935999999996,4.0,27.760000000000005
44,34.4,615.34452,7.199999999999999,34.1
45,2.16,640.17144,4.0,53.9
46,36.6,488.8193,8.0,45.959999999999994
47,21.7,463.9623,7.2,50.4
48,43.08,512.59128,3.5999999999999996,61.5
49,29.04,4605.749,0.0,13.4
50,29.4,3608.2872000000007,1.0,13.2
51,21.7,512.5487,3.2,44.2
52,31.3,2110.0872,0.8,20.7
53,32.1,1438.579,3.5999999999999996,27.0
54,13.3,492.2313,5.0,38.9
55,16.1,289.3248,4.0,51.7
56,31.7,1392.7584,0.0,16.439999999999998
57,33.6,371.2495,9.6,33.52
58,3.5,67.7691,7.0,42.800000000000004
59,30.3,4510.359,1.0,22.6
60,10.64,268.84256,5.0,42.4
61,8.8,1544.9656000000002,2.0,25.56
62,5.3,207.72856000000002,6.0,63.2
63,17.2,2175.877,3.0,27.7
64,3.12,640.17144,4.0,66.0
65,17.5,995.7554,0.0,25.3
66,40.1,148.49148,9.6,44.3
67,1.2,193.5845,4.800000000000001,40.56
68,10.2,125.77212,4.0,56.8
69,30.4,464.223,7.199999999999999,36.2
70,12.5,561.9845,6.0,42.0
71,7.919999999999999,72.364848,7.2,70.8
72,35.5,640.7391,3.0,40.8
73,39.0,339.63536,8.0,43.559999999999995
74,13.8,4082.015,0.0,24.0
75,6.8,379.5575,10.0,54.4
76,12.3,1360.139,1.0,23.6
77,28.72,493.12032,3.0,44.16
78,20.5,2185.128,2.4000000000000004,20.480000000000004
79,38.2,662.9245199999999,2.0,35.76
80,18.0,1131.8696,1.0,21.200000000000003
81,11.8,533.4762,4.0,40.3
82,30.8,377.7956,6.0,36.8
83,13.2,181.12163999999999,5.6000000000000005,38.480000000000004
84,25.3,2707.392,3.0,17.7
85,15.1,383.2805,8.4,52.440000000000005
86,0.0,338.9679,9.0,50.8
87,2.16,1455.798,1.2,27.0
88,13.52,4066.587,0.0,18.3
89,10.68,1687.7160000000001,0.0,48.0
90,23.0,3947.945,0.0,25.3
91,0.0,328.81728000000004,1.2,54.48
92,9.1,1402.016,0.0,43.2
93,20.6,2469.645,4.0,21.8
94,25.52,1375.5947999999999,0.0,19.32
95,40.9,167.5989,5.0,49.199999999999996
